Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
unclog,3,3,3,3,0.06,0.04,0.6021,0.6021
unclouded,2,2,2,2,0.04,0.02,0.4771,0.4771
uncluttered,4,4,4,4,0.08,0.05,0.6990,0.6990
uncock,2,2,1,1,0.04,0.02,0.4771,0.4771
uncoded,2,2,2,2,0.04,0.02,0.4771,0.4771
uncoil,2,2,2,2,0.04,0.02,0.4771,0.4771
uncombed,4,4,3,3,0.08,0.05,0.6990,0.6990
uncomfortable,798,645,786,637,15.65,7.69,2.9025,2.8102
uncomfortableness,2,2,2,2,0.04,0.02,0.4771,0.4771
uncomfortably,9,9,8,8,0.18,0.11,1.0000,1.0000
uncommitted,6,5,6,5,0.12,0.06,0.8451,0.7782
uncommon,110,96,106,93,2.16,1.14,2.0453,1.9868
uncommonly,13,12,13,12,0.25,0.14,1.1461,1.1139
uncommunicative,5,5,5,5,0.10,0.06,0.7782,0.7782
uncompleted,4,1,4,1,0.08,0.01,0.6990,0.3010
uncomplicated,31,28,28,25,0.61,0.33,1.5051,1.4624
uncompromised,2,2,2,2,0.04,0.02,0.4771,0.4771
uncompromising,21,17,18,16,0.41,0.20,1.3424,1.2553
unconcerned,16,15,16,15,0.31,0.18,1.2304,1.2041
unconditional,47,44,37,34,0.92,0.52,1.6812,1.6532
unconditionally,20,19,18,17,0.39,0.23,1.3222,1.3010
unconfined,2,2,2,2,0.04,0.02,0.4771,0.4771
unconfirmed,32,27,28,24,0.63,0.32,1.5185,1.4472
unconnected,13,11,11,10,0.25,0.13,1.1461,1.0792
unconquerable,3,3,2,2,0.06,0.04,0.6021,0.6021
unconquered,4,3,3,2,0.08,0.04,0.6990,0.6021
unconscionable,18,18,16,16,0.35,0.21,1.2788,1.2788
unconscionably,2,2,2,2,0.04,0.02,0.4771,0.4771
unconscious,583,480,556,465,11.43,5.72,2.7664,2.6821
unconsciously,44,37,40,35,0.86,0.44,1.6532,1.5798
unconsciousness,13,13,13,13,0.25,0.15,1.1461,1.1461
unconsecrated,2,2,2,2,0.04,0.02,0.4771,0.4771
unconsoled,2,2,2,2,0.04,0.02,0.4771,0.4771
