,Word,FREQcount
780,sarcasm,146
781,sarcast,144
782,sarcom,8
783,sarcophag,35
784,sardin,232
785,sardon,5
786,sargasso,4
787,sarg,683
788,sarin,12
789,sark,304
790,sarm,6
791,sarong,9
792,sarsaparill,38
793,sart,12
794,sartain,26
795,sas,3
796,sash,69
797,sashay,17
798,sashim,28
799,saskatchew,8
800,sass,59
801,sassafra,32
802,sassy,164
803,sat,2095
804,sata,2
805,satay,6
806,satchel,80
807,satellit,961
808,saty,9
809,satin,140
810,satiny,2
811,satir,49
812,satisfact,526
813,satisfy,1244
814,sativ,9
815,satsum,5
816,saturday,2502
817,saturn,77
818,satyr,34
819,sau,13
820,sauc,1022
821,saucep,10
822,saucy,71
823,saud,47
824,sauerbr,2
825,sauerkraut,51
826,saul,104
827,saun,69
828,sauna,5
829,saund,411
830,saunt,20
831,saur,17
832,saus,527
833,saut,3
834,sautee,5
835,sav,14753
836,savagery,14
837,savann,3
838,savannah,77
839,savil,14
840,savin,41
841,savy,184
842,savio,62
843,savo,25
844,savoury,4
845,savoy,28
846,savoyard,2
847,savvy,54
848,saw,20608
849,sawbon,9
850,sawbuck,20
851,sawdust,30
852,sawhors,3
853,sawmil,21
854,sawn,6
855,sawtoo,11
856,sawy,334
857,sax,64
858,saxon,195
859,saxony,7
860,saxophon,98
861,say,114959
862,sayest,6
863,sayid,189
864,sayonar,84
865,sb,4
866,sc,17
867,scab,53
868,scabbard,11
869,scabby,18
870,scad,12
871,scaffold,44
872,scag,21
873,scagl,3
874,scal,653
875,scalaw,8
876,scald,53
877,scalig,8
878,scallop,32
879,scallopin,4
880,scallyw,6
881,scalp,291
882,scalpel,179
883,sca,16
884,scam,408
885,scamp,147
886,scan,1026
887,scand,507
888,scandalmong,2
889,scandinav,52
890,scant,12
891,scanty,4
892,scap,12
893,scapego,68
894,scapegrac,2
895,scaphoid,5
896,scapul,14
897,scar,10141
898,scarab,16
899,scaramouch,24
900,scarborough,10
901,scarc,169
902,scarecrow,101
903,scarf,249
904,scarfac,52
905,scary,1404
906,scariest,42
907,scarlet,167
908,scarp,13
909,scart,2
910,scarv,31
911,scat,407
912,scath,17
913,scatolog,9
914,scatterbrain,12
915,scattergun,5
916,scaveng,88
917,scenario,400
918,scen,4288
919,scenery,193
920,scent,370
921,sceiv,88
922,sch,3
923,schadenfreude,5
924,schedule,1518
925,scheduled,483
926,schedules,116
927,scheduling,64
928,scheherazade,5
929,schelling,3
930,schematic,58
931,schematics,69
932,scheme,370
933,schemed,11
934,schemer,9
935,schemes,90
936,scheming,50
937,scherzo,2
938,schick,5
939,schiller,40
940,schilling,35
941,schillings,3
942,schimmel,6
943,schism,3
944,schist,20
945,schistosomiasis,3
946,schiz,2
947,schizo,16
948,schizoid,7
949,schizophrenia,69
950,schizophrenic,117
951,schizophrenics,16
952,schizos,3
953,schlemiel,9
954,schlep,25
955,schlepp,4
956,schlepped,7
957,schlepper,2
958,schlepping,10
959,schlieren,3
960,schlimazel,3
961,schlock,6
962,schloss,6
963,schlump,2
964,schmaltz,14
965,schmaltzy,2
966,schmear,6
967,schmeer,6
968,schmo,23
969,schmoes,3
970,schmooze,17
971,schmoozing,7
972,schmos,2
973,schmuck,234
974,schmucks,28
975,schnabel,6
976,schnapps,37
977,schnauzer,10
978,schnecken,3
979,schneider,83
980,schnell,31
981,schnitz,5
982,schnitzel,45
983,schnook,17
984,schnooks,2
985,schnoz,15
986,schnozzle,3
987,scholar,186
988,scholarly,22
989,scholars,47
990,scholarship,507
991,scholarships,55
992,scholastic,29
993,scholastically,2
994,school,16989
995,schoolbag,6
996,schoolbook,4
997,schoolbooks,15
998,schoolboy,67
999,schoolboys,10
1000,schoolchild,2
1001,schoolchildren,19
1002,schooled,25
1003,schooler,3
1004,schoolers,7
1005,schoolgirl,96
1006,schoolgirls,25
1007,schoolhouse,57
1008,schoolhouses,4
1009,schooling,73
1010,schoolkids,8
1011,schoolmarm,11
1012,schoolmaster,46
1013,schoolmasters,5
1014,schoolmate,6
1015,schoolmates,12
1016,schoolmistress,3
1017,schoolroom,16
1018,schools,714
1019,schoolteacher,176
1020,schoolteachers,24
1021,schoolteaching,2
1022,schoolwork,49
1023,schoolyard,44
1024,schoolyards,3
1025,schooner,38
1026,schooners,7
1027,schottische,2
1028,schrank,4
1029,schreiner,8
1030,schtick,3
1031,schubert,41
1032,schultz,193
1033,schussing,2
1034,schwarz,12
1035,sci,3708
1036,sciatic,13
1037,scientolog,17
1038,scimit,11
1039,scintill,6
1040,scintil,24
1041,scion,12
1042,scirocco,2
1043,sciss,359
1044,sclera,4
1045,scleroderma,3
1046,sclerosed,3
1047,sclerosis,13
1048,scoff,116
1049,scofflaw,2
1050,scold,135
1051,scolex,23
1052,scolios,14
1053,scont,13
1054,scon,65
1055,scooch,26
1056,scoop,426
1057,scoot,319
1058,scop,349
1059,scopolamin,13
1060,scorch,101
1061,scor,2380
1062,scoreboard,35
1063,scorecard,14
1064,scorekeep,8
1065,scoreless,7
1066,scorn,117
1067,scorpio,27
1068,scorp,203
1069,scot,2028
1070,scotch,771
1071,scotchm,14
1072,scotland,378
1073,scotom,3
1074,scotsm,30
1075,scotty,92
1076,scoundrel,190
1077,sco,74
1078,scourg,74
1079,scout,1034
1080,scoutmast,11
1081,scow,17
1082,scowl,33
1083,scr,2
1084,scrabble,96
1085,scrabbling,2
1086,scrag,2
1087,scraggly,8
1088,scraggy,2
1089,scram,179
1090,scramble,123
1091,scrambled,367
1092,scrambler,28
1093,scrambles,6
1094,scrambling,49
1095,scrap,223
1096,scrapbook,61
1097,scrapbooks,11
1098,scrape,210
1099,scraped,66
1100,scraper,5
1101,scrapes,47
1102,scrapheap,4
1103,scraping,118
1104,scrapings,18
1105,scrapped,27
1106,scrapper,10
1107,scrapping,11
1108,scrapple,6
1109,scrappy,30
1110,scraps,104
1111,scrapyard,2
1112,scratch,961
1113,scratched,228
1114,scratcher,8
1115,scratchers,2
1116,scratches,123
1117,scratching,189
1118,scratchy,49
1119,scrawl,12
1120,scrawled,8
1121,scrawling,3
1122,scrawnier,2
1123,scrawny,80
1124,scream,1347
1125,screamed,247
1126,screamer,52
1127,screamers,19
1128,screaming,1945
