,Word,FREQcount
1574,dotard,2
1575,dotcom,10
1576,dote,34
1577,dotty,57
1578,doty,3
1579,douane,3
1580,doub,7502
1581,doucet,2
1582,douch,122
1583,dough,1333
1584,douglas,365
1585,douma,2
1586,dour,12
1587,douse,61
1588,doux,3
1589,dove,417
1590,dow,44
1591,dowager,18
1592,dowd,137
1593,dowel,3
1594,down,80495
1595,dowry,80
1596,dowse,11
1597,doxy,6
1598,doz,2
1599,doze,1617
1600,dozier,3
1601,dozy,5
1602,dp,12
1603,dr,15194
1604,drab,49
1605,drachma,5
1606,draco,29
1607,draft,603
1608,drag,3816
1609,drain,774
1610,drake,304
1611,dram,1683
1612,drang,11
1613,drank,656
1614,drape,269
1615,drastic,144
1616,drat,49
1617,draught,37
1618,draw,6089
1619,dray,5
1620,dread,735
1621,dream,12488
1622,drear,94
1623,dreck,13
1624,dredge,35
1625,dredging,15
1626,dreg,30
1627,dreidel,14
1628,drek,3
1629,drench,51
1630,dresden,34
1631,dress,8421
1632,drey,35
1633,dribble,95
1634,drib,34
1635,dry,2495
1636,drier,22
1637,drift,736
1638,drill,946
1639,drink,17188
1640,drip,505
1641,drive,17467
1642,drizzle,30
1643,drizzling,6
1644,drizzly,5
1645,drogue,12
1646,droit,3
1647,droll,28
1648,dromedary,4
1649,drona,6
1650,drone,216
1651,droning,18
1652,drool,266
1653,droop,53
1654,drop,10622
1655,drosophila,4
1656,dross,4
1657,drought,77
1658,drove,24
1659,drow,1396
1660,drubbing,2
